pile,ward,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15
Azeem,3,3,Azeem,Sobrinho-Wheeler,Bullister,Skeadas,McGovern,Siddiqui,Zondervan,Simmons,Mallon,Eckstut,Hicks,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Simmons,Siddiqui,Hicks,Mallon,McGuirk,Toner,McGovern,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Simmons,Mallon,Siddiqui,Hicks,Toner,McGovern,McGuirk,,,,,,
Azeem,3,3,Azeem,McGovern,Mallon,Siddiqui,McGuirk,Sobrinho-Wheeler,Toner,Hicks,Skeadas,,,,,,
Azeem,3,3,Azeem,Mallon,McGovern,Siddiqui,Sobrinho-Wheeler,Zondervan,Bullister,,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Mallon,McGovern,Siddiqui,McGuirk,Simmons,Toner,Hicks,,,,,,
Azeem,3,3,Azeem,Mallon,Bullister,Siddiqui,McGovern,McGuirk,Simmons,,,,,,,,
Azeem,3,3,Azeem,Bullister,Skeadas,Williams,Nolan,Simmons,Siddiqui,Zondervan,Mallon,,,,,,
Azeem,3,3,Azeem,Siddiqui,Zondervan,Mallon,McGovern,Williams,,,,,,,,,
Azeem,3,3,Azeem,McGovern,Mallon,Siddiqui,McGuirk,Simmons,Sobrinho-Wheeler,Toner,Bullister,Skeadas,Hicks,Eckstut,Zondervan,Williams,Nolan
Azeem,3,3,Azeem,Eckstut,McGovern,Siddiqui,Skeadas,Toner,Williams,Mallon,,,,,,,
Azeem,3,3,Azeem,Eckstut,Nolan,Siddiqui,Skeadas,Williams,Zondervan,Sobrinho-Wheeler,Simmons,,,,,,
Azeem,7,3,Azeem,Bullister,Sobrinho-Wheeler,Zondervan,Simmons,,,,,,,,,,
Azeem,7,3,Azeem,Toner,McGovern,Simmons,Nolan,Eckstut,Bullister,Hicks,,,,,,,
Azeem,7,3,Azeem,Siddiqui,Hicks,Simmons,Sobrinho-Wheeler,Mallon,McGuirk,Toner,Carlone,McGovern,Nolan,Pierre,Williams,Zondervan,Bullister
Azeem,7,3,Azeem,Hicks,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,Mallon,,,,,,,,
Azeem,7,3,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,7,3,Azeem,Siddiqui,,,,,,,,,,,,,
Azeem,7,3,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,7,3,Azeem,Hicks,McGuirk,Toner,Zondervan,Williams,Moree,Sobrinho-Wheeler,,,,,,,
Azeem,7,3,Azeem,Sobrinho-Wheeler,,,,,,,,,,,,,
Azeem,7,3,Azeem,Zondervan,Siddiqui,Simmons,Williams,Sobrinho-Wheeler,,,,,,,,,
Azeem,7,3,Azeem,Mallon,Siddiqui,Sobrinho-Wheeler,McGovern,Toner,Simmons,Hicks,McGuirk,,,,,,
